lname,fname,handle_part,state,district,X115.St.Dis,Party,Replaced,stateabb,dist
Davidson,Warren,WarrenDavidson,,NA,OH08,R,,OH,8
Davis,Danny,RepDannyDavis,,NA,IL07,D,,IL,7
Davis,Rodney,RodneyDavis,,NA,IL13,R,,IL,13
Davis,Susan,RepSusanDavis,,NA,CA53,D,,CA,53
DeFazio,Peter,RepPeterDeFazio,,NA,OR04,D,,OR,4
DeGette,Diana,RepDianaDeGette,,NA,CO01,D,,CO,1
Delaney,John,RepJohnDelaney,,NA,MD06,D,,MD,6
Demings,Val,RepValDemings,,NA,FL10,D,,FL,10
Denham,Jeff,RepJeffDenham,,NA,CA10,R,,CA,10
Dent,Charlie,RepCharlieDent,,NA,PA15,,no replacement,PA,15
Deutch,Theodore,RepTedDeutch,,NA,FL22,D,,FL,22
Dingell,Debbie,RepDebDingell,,NA,MI12,D,,MI,12
Doggett,Lloyd,RepLloydDoggett,,NA,TX35,D,,TX,35
Donovan,Daniel,RepDanDonovan,,NA,NY11,R,,NY,11
Doyle,Michael,USRepMikeDoyle,,NA,PA14,D,,PA,14
Duffy,Sean,RepSeanDuffy,,NA,WI07,R,,WI,7
Duncan,Jeff,RepJeffDuncan,,NA,SC03,R,,SC,3
Duncan,John,RepJohnDuncanJr,,NA,TN02,R,,TN,2
Dunn,Neal,DrNealDunnFL,Florida,NA,FL02,R,,FL,2
Ellison,Keith,keithellison,,NA,MN05,D,,MN,5
Emmer,Tom,RepTomEmmer,,NA,MN06,R,,MN,6
Engel,Eliot,RepEliotEngel,,NA,NY16,D,,NY,16
Eshoo,Anna,RepAnnaEshoo,,NA,CA18,D,,CA,18
Estes,Ron,RepRonEstes,,NA,KS04,R,,KS,4
Evans,Dwight,RepDwightEvans,,NA,PA02,D,,PA,2
Faso,John,RepJohnFaso,,NA,NY19,R,,NY,19
Ferguson,A.,RepDrewFerguson,,NA,GA03,R,,GA,3
Fitzpatrick,Brian,RepBrianFitz,,NA,PA08,R,,PA,8
Flores,Bill,RepBillFlores,,NA,TX17,R,,TX,17
Fortenberry,Jeff,JeffFortenberry,,NA,NE01,R,,NE,1
Foster,Bill,RepBillFoster,,NA,IL11,D,,IL,11
Frankel,Lois,RepLoisFrankel,,NA,FL21,D,,FL,21
Fudge,Marcia,RepMarciaFudge,,NA,OH11,D,,OH,11
Gaetz,Matt,RepMattGaetz,,NA,FL01,R,,FL,1
Gallego,Ruben,RepRubenGallego,,NA,AZ07,D,,AZ,7
Garrett,Thomas,Rep_Tom_Garrett,,NA,VA05,R,,VA,5
Gibbs,Bob,RepBobGibbs,,NA,OH07,R,,OH,7
Gohmert,Louie,replouiegohmert,,NA,TX01,R,,TX,1
Granger,Kay,RepKayGranger,,NA,TX12,R,,TX,12
Graves,Garret,RepGarretGraves,,NA,LA06,R,,LA,6
Graves,Sam,RepSamGraves,,NA,MO06,R,,MO,6
Graves,Tom,RepTomGraves,,NA,GA14,R,,GA,14
Green,Al,RepAlGreen,,NA,TX09,D,,TX,9
Green,Gene,RepGeneGreen,,NA,TX29,D,,TX,29
Grijalva,Raúl,RepRaulGrijalva,,NA,AZ03,D,,AZ,3
Guthrie,Brett,brettguthrie,,NA,KY02,R,,KY,2
Harper,Gregg,GreggHarper,,NA,MS03,R,,MS,3
Harris,Andy,RepAndyHarrisMD,,NA,MD01,R,,MD,1
Heck,Denny,RepDennyHeck,,NA,WA10,D,,WA,10
Hensarling,Jeb,RepHensarling,,NA,TX05,R,,TX,5
Herrera Beutler,Jaime,HerreraBeutler,,NA,WA03,R,,WA,3
Higgins,Brian,RepBrianHiggins,,NA,NY26,D,,NY,26
Hudson,Richard,RepRichHudson,,NA,NC08,R,,NC,8
Huffman,Jared,RepHuffman,California,NA,CA02,D,,CA,2
Issa,Darrell,DarrellIssa,,NA,CA49,R,,CA,49
Jackson Lee,Sheila,JacksonLeeTX,Texas,NA,TX18,D,,TX,18
Jenkins,Evan,RepEvanJenkins,,NA,WV03,,no replacement,WV,3
Jenkins,Lynn,RepLynnJenkins,,NA,KS02,R,,KS,2
Johnson,Bill,RepBillJohnson,,NA,OH06,R,,OH,6
Johnson,Henry,RepHankJohnson,,NA,GA04,D,,GA,4
Jones,Walter,RepWalterJones,,NA,NC03,R,,NC,3
Jordan,Jim,Jim_Jordan,,NA,OH04,R,,OH,4
Joyce,David,RepDaveJoyce,,NA,OH14,R,,OH,14
Kaptur,Marcy,RepMarcyKaptur,,NA,OH09,D,,OH,9
Katko,John,RepJohnKatko,,NA,NY24,R,,NY,24
Keating,William,USRepKeating,,NA,MA09,D,,MA,9
Kelly,Mike,MikeKellyPA,,NA,PA03,R,,PA,3
Kelly,Robin,RepRobinKelly,,NA,IL02,D,,IL,2
Kelly,Trent,RepTrentKelly,,NA,MS01,R,,MS,1
Kennedy,Joseph,RepJoeKennedy,,NA,MA04,D,,MA,4
Kildee,Daniel,RepDanKildee,,NA,MI05,D,,MI,5
Kilmer,Derek,RepDerekKilmer,,NA,WA06,D,,WA,6
Kind,Ron,RepRonKind,,NA,WI03,D,,WI,3
King,Peter,RepPeteKing,,NA,NY02,R,,NY,2
King,Steve,SteveKingIA,,NA,IA04,R,,IA,4
Knight,Stephen,SteveKnight,,NA,CA25,R,,CA,25
Kuster,Ann,RepAnnieKuster,,NA,NH02,D,,NH,2
Kustoff,David,repdavidkustoff,,NA,TN08,R,,TN,8
Labrador,Raúl,Raul_Labrador,,NA,ID01,R,,ID,1
Langevin,James,JimLangevin,,NA,RI02,D,,RI,2
Larsen,Rick,RepRickLarsen,,NA,WA02,D,,WA,2
Larson,John,RepJohnLarson,,NA,CT01,D,,CT,1
