,Date,Title,Organization,City,State,URL,Hate Incident,New Incident,Day of Incident,Month of Incident,Year of Incident,Violent,Num Victims,Num Perp,Num Deaths,Issue Identity,Incident City,Incident State,Incident Type,Inc Intensity,Notes
1353,5/5/2017,There's never a place or a time for hate speech,Cheney Free Press,Cheney,WA,http://www.cheneyfreepress.com/story/2017/05/04/opinion/theres-never-a-place-or-a-time-for-hate-speech/20530.html,0,na,na,na,na,na,na,na,na,na,na,na,Opinion piece,na,
1354,5/5/2017,"Protest breaks out at American University following noose, bananas incident",FOX 5 DC,,,http://www.fox5dc.com/news/local-news/252932518-story,,,,,,,,,,,,,,,Duplicate story
1355,5/5/2017,Big Sean Addresses Police Brutality And Hatred In Powerful “Light” Music Video,breatheheavy.com,Las Vegas,NV,http://www.breatheheavy.com/exhale/index.php?showtopic=744465,0,na,na,na,na,na,na,na,na,na,na,na,News story,na,
1356,5/5/2017,Police investigating sports bar shooting as possible hate crime,FOX 4 News,Dallas,Texas,http://www.fox4news.com/news/252958174-story,0,na,na,na,na,na,na,na,na,na,na,na,Incident under investigation,na,
1357,5/6/2017,How will police decide what role race and hate played in the University City shooting?,The San Diego Union-Tribune,San Diego,CA,http://www.sandiegouniontribune.com/news/public-safety/sd-me-hate-crime-20170506-story.html,,,,,,,,,,,,,,,Duplicate story
1358,5/6/2017,Possible hate crime investigated at Arlington bar where killer was stopped by armed customer,Dallas News,Dallas,TX,https://www.dallasnews.com/news/arlington/2017/05/06/possible-hate-crime-investigated-arlington-bar-shooting-armed-customer-stopped-gunman,,,,,,,,,,,,,,,Duplicate story
1359,5/6/2017,“Fake Law”,enumclaw.com,Enumclaw,WA,http://enumclaw.com/news/2017/05/06/15793/,0,na,na,na,na,na,na,na,na,na,na,na,Opinion piece,na,
1360,5/7/2017,Man says he was beaten and called an anti-gay slur while walking in South Beach,Miami Herald,Miami,FL,http://www.miamiherald.com/news/local/community/miami-dade/miami-beach/article149204079.html,0,na,na,na,na,na,na,na,na,na,na,na,Incident under investigation,na,
1361,5/7/2017,Hate Crime Suspected in Miami Beach Attack,Patch.com,New York,,https://patch.com/florida/miami/hate-crime-suspected-miami-beach-attack,,,,,,,,,,,,,,,Duplicate story
1362,5/8/2017,Woman Harasses Muslim Shopper In Trader Joe's (Video),Opposing Views,Los Angeles,CA,http://www.opposingviews.com/i/social/woman-harasses-muslim-shopper-trader-joes,0,na,na,na,na,na,na,na,na,na,na,na,News story,na,
1363,5/8/2017,Indiana Church Organist Arrested In 'Heil Trump' Graffiti Incident,The Inquisitr,Tampa,Florida,http://www.inquisitr.com/4204298/indiana-church-organist-arrested-in-heil-trump-graffiti-incident/,,,,,,,,,,,,,,,Duplicate story
1364,5/8/2017,Ohio Crime Victim Compensation Program only foots the bill if you are physically injured,News 5 Cleveland,,,http://www.news5cleveland.com/news/local-news/oh-cuyahoga/ohio-crime-victim-compensation-program-only-foots-the-bill-if-you-are-physically-injured,0,na,na,na,na,na,na,na,na,na,na,na,News story,na,
1365,5/9/2017,New rapid-response team plans to confront hate crimes in the DC area,Washington Post,Washington,DC,https://www.washingtonpost.com/news/acts-of-faith/wp/2017/05/09/new-rapid-response-team-plans-to-confront-hate-crimes-in-the-d-c-area/,0,na,na,na,na,na,na,na,na,na,na,na,News story,na,
1366,5/9/2017,MCC Takes a Stand Against Anti-Semitism After Wave of Local Hate Crimes,Spectrum News,,,http://www.twcnews.com/nys/rochester/news/2017/05/9/mcc-against-anti-semitism-wave-local-hate-crimes.html,0,na,na,na,na,na,na,na,na,na,na,na,Condemnation,na,
1367,5/9/2017,Anti-Muslim attacks in New York skyrocketed in 2016 with over 100 incidents after Trump's election win,New York Daily News,New York,NY,http://www.nydailynews.com/new-york/anti-muslim-attacks-new-york-skyrocket-232-2016-article-1.3150439,0,na,na,na,na,na,na,na,na,na,na,na,Hate crime report,na,
1368,5/9/2017,FBI Director James Comey calls for better ways to track hate crimes,Cleveland Jewish News,Cleveland,OH,http://www.clevelandjewishnews.com/news/national_news/fbi-director-james-comey-calls-for-better-ways-to-track/article_d0a07a75-1a77-5036-b7ef-6ebc63e74523.html,0,na,na,na,na,na,na,na,na,na,na,na,Call to action,na,
1369,5/9/2017,Exclusive: Man in video speaks after Hoboken leaders call his rant 'hate speech',WABC-TV,New York,NY,http://abc7ny.com/news/exclusive-man-speaks-after-nj-leaders-call-his-rant-hate-speech/1973096/,0,na,na,na,na,na,na,na,na,na,na,na,News story,na,
1370,5/9/2017,Tacoma man arrested in possible Columbia City hate crime,seattlepi.com,Seattle,WA,http://www.seattlepi.com/local/crime/article/Tacoma-man-arrested-in-possible-Columbia-City-11133823.php,0,na,na,na,na,na,na,na,na,na,na,na,Incident under investigation,na,
1371,5/9/2017,West Virginia court affirms civil rights violation dismissal,Fresno Bee,Fresno,CA,http://www.fresnobee.com/sports/college/article149580039.html,,,,,,,,,,,,,,,Url broken
1372,5/9/2017,Bill toughening hate crimes law clears House unanimously,Greenwich Time,Greenwich,CT,http://www.greenwichtime.com/news/crime/article/Bill-toughening-hate-crimes-law-clears-House-11133893.php,0,na,na,na,na,na,na,na,na,na,na,na,bill proposal,na,
1373,5/9/2017,CAIR: Dramatic surge in anti-Muslim incidents in 2016,Al Jazeera America,New York,NY,http://www.aljazeera.com/news/2017/05/cair-anti-muslim-incidents-2016-170509210928648.html,0,na,na,na,na,na,na,na,na,na,na,na,Hate crime report,na,
1374,5/10/2017,Florida man says he was beaten on Miami Beach because he's gay,ChicagoPride.com,Chicago,IL,http://chicago.gopride.com/news/article.cfm/articleid/83666164/florida-man-says-he-was-beaten-on-miami-beach-because-hes-gay,,,,,,,,,,,,,,,Duplicate story
1375,5/10/2017,Virginia man charged with hate crime after pulls woman from her car,The Charlottesville Newsplex,Charlottesville,VA,http://www.newsplex.com/content/news/Virginia-man-charged-with-hate-crime-after-pulls-woman-from-her-car-421910983.html,1,1,na,5,2017,1,1,1,0,Race,Chesterfield,Virginia,Assault,3,
1376,5/10/2017,Hate crime charge: White man pulled black woman from her car,ABC News,,,http://abcnews.go.com/US/wireStory/hate-crime-charge-white-man-pulled-black-woman-47330189,,,,,,,,,,,,,,,Duplicate story
1377,5/10/2017,Convicted church shooter Roof picked death over autism label,CT Post,Bridgeport,CT,http://www.ctpost.com/news/crime/article/Judge-rejects-condemned-church-shooter-Roof-s-1st-11136616.php,,,,,,,,,,,,,,,Duplicate story
1378,5/10/2017,Texas men accused of luring gay victims via dating app,770kkob.com,Albuquerque,NM,http://www.770kkob.com/news/texas-men-accused-of-luring-gay-victims-via-dating-app/,,,,,,,,,,,,,,,Url broken
1379,5/10/2017,Four Frisco Men Charged with Federal Hate Crimes for Targeting Gay Men,NBC 5 Dallas-Fort Worth,Dallas-Fort Worth,TX,http://www.nbcdfw.com/news/local/Four-Frisco-Men-Charged-with-Federal-Hate-Crimes-for-Targeting-Gay-Men-421945343.html,1,0,1/17-2/7,See J,2017,1,na,4,0,LGBT,Dallas ,Texas,Assault,3,
1380,5/11/2017,"4 Texans face federal hate crime charges, accused of luring robbery victims via Grindr",WatertownDailyTimes.com,Watertown,NY,http://www.watertowndailytimes.com/national/4-texans-face-federal-hate-crime-charges-accused-of-luring-robbery-victims-via-grindr-20170511,,,,,,,,,,,,,,,Duplicate story
1381,5/11/2017,New York Can Wait,Little India,Reading,PA,http://www.littleindia.com/life/23071-new-york-can-wait.html,,,,,,,,,,,,,,,Url broken
1382,5/11/2017,"Another Day, Another Fake Hate Crime",FrontPage Magazine,Los Angeles,CA,http://www.frontpagemag.com/point/266678/another-day-another-fake-hate-crime-daniel-greenfield,,,,,,,,,,,,,,,Url broken
1383,5/11/2017,"4 Texans face federal hate crime charges, accused of luring robbery victims in DFW using Grindr",Tyler Morning Telegraph,Tyler,TX,http://www.tylerpaper.com/TP-News+State/282738/4-texans-face-federal-hate-crime-charges-accused-of-luring-robbery-victims-in-dfw-using-grindr,,,,,,,,,,,,,,,Duplicate story
1384,5/11/2017,Court says football player accused of gay attack didn't commit hate crime,Outsports,Los Angeles,CA,http://www.outsports.com/2017/5/11/15624760/west-virginia-football-court-gay-kiss,0,na,na,na,na,na,na,na,na,na,na,na,News story,na,
1385,5/11/2017,4 Texas Men Allegedly Used Grindr To Target Gay Assault Victims,HuffPost,New York,NY,http://www.huffingtonpost.com/entry/texas-men-grindr-hate-crime_us_59147f05e4b00b643ebc0828,,,,,,,,,,,,,,,Duplicate story
