Date,Title,Organization,City,State,URL,Keyword,Summary
7/16/2018 0:00,Twin sisters arrested for racially charged attack on Hispanic family,nypost.com,,,https://nypost.com/2018/07/16/twin-sisters-arrested-for-racially-charged-attack-on-hispanic-family/,null,null
7/16/2018 0:00,Sisters arrested after apparent racially motivated attack caught on video,fox13now.com,Salt Lake City,Utah,https://fox13now.com/2018/07/16/sisters-arrested-after-apparent-racially-motivated-attack-caught-on-video/,carlos city colorado commerce fross frosses hispanic kdvr natasha racially rocio ruiz shala sisters video carlos city colorado commerce fross frosses hispanic kdvr natasha racially rocio ruiz shala sisters video carlos city colorado commerce fross frosses hispanic kdvr natasha racially rocio ruiz shala sisters video carlos city colorado commerce fross frosses hispanic kdvr natasha racially rocio ruiz shala sisters video,"COMMERCE CITY, Colo. — A video showing two sisters racially harassing a Hispanic family in Commerce City, Colorado has gone viral.  In the video, the women can be seen attacking one of the female family members. The sisters, Natasha and Shala Fross, 26,"
7/16/2018 0:00,Teenage prank or hate crime? Another LDS church building vandalized,Good4Utah,Salt Lake City,UT,https://www.good4utah.com/news/local-news/teenage-prank-or-hate-crime-another-lds-church-building-vandalized/1306691256,bagley chapel christ church cottonwood hate heights jesus lake lds millcreek news4utah vandalized bagley chapel christ church cottonwood hate heights jesus lake lds millcreek news4utah vandalized bagley chapel christ church cottonwood hate heights jesus lake lds millcreek news4utah vandalized,MILLCREEK (News4Utah) -Some members of The Church of Jesus Christ of Latter-day Saints feel that their faith is being targeted after a string of vandalism at LDS meeting houses on the east side of the Salt Lake Valley.  Shards of glass littered the
7/16/2018 0:00,Should This Obnoxious Drunk Be Punished for His Political Views?,Reason,Washington,District of Columbia,http://reason.com/blog/2018/07/16/should-this-obnoxious-drunk-be-punished,american assault chicago class conduct cook disorderly hate illinois irizarry offenses puerto_rico shirt trybus american assault chicago class conduct cook disorderly hate illinois irizarry offenses puerto_rico shirt trybus,It is pretty clear that Timothy Trybus broke the law when he harassed Mia Irizarry for wearing a T-shirt featuring the Puerto Rican flag at a park in Chicago last month. But now that the Cook County State's Attorney's Office has charged Trybus with hate
7/16/2018 0:00,"72-year-old man could face hate crime, terrorism charges in attempted arson case",WPLG Local 10,Miami,FL,https://www.local10.com/news/florida/miami-beach/72-year-old-man-could-face-hate-crime-terrorism-charges-in-attempted-arson-case,arson attorney beach building burns collins crime cubenas diaz hate miami office serra state stolper terror arson attorney beach building burns collins crime cubenas diaz hate miami office serra state stolper terror arson attorney beach building burns collins crime cubenas diaz hate miami office serra state stolper terror arson attorney beach building burns collins crime cubenas diaz hate miami office serra state stolper terror arson attorney beach building burns collins crime cubenas diaz hate miami office serra state stolper terror,"MIAMI BEACH, Fla. - The State Attorney's Office is looking into whether an attempted arson in Miami Beach will be considered a hate crime or possibly terrorism.   Authorities said they received a credible tip that Walter Stolper, 72, was planning to burn"
7/16/2018 0:00,Gay pride flag ripped down from home of activist on Long Island,WABC-TV,New York,NY,http://abc7ny.com/gay-pride-flag-ripped-down-from-home-of-li-activist-/3773129/,activist american beach flag flags gay hate island lauren long luke neighbor rangers ripped scared skolkin activist american beach flag flags gay hate island lauren long luke neighbor rangers ripped scared skolkin activist american beach flag flags gay hate island lauren long luke neighbor rangers ripped scared skolkin activist american beach flag flags gay hate island lauren long luke neighbor rangers ripped scared skolkin,"A veteran gay rights activist claims she was the victim of a hate crime when a man ripped a gay pride flag from her apartment door on Long Island.        ""I'm scared about retaliation, I'm scared about what this guy could do next if he already did something like"
7/16/2018 0:00,White Woman Looks So Sad She Got Caught Being 'Racially Charged',Wonkette,Washington,DC,https://www.wonkette.com/ohio,american black buckeyes edelen kraynik ohio patricia patrolman police racist texted times toledo trump wonkejette american black buckeyes edelen kraynik ohio patricia patrolman police racist texted times toledo trump wonkejette,"We used to live in economically anxious times. It was why that rock-solid base of support for Donald Trump, the white working class, would occasionally dabble in recreational racism to distract themselves from their meth addictions or unrealistic"
7/17/2018 0:00,Hate crimes are up in America's 10 largest cities. Here's why,KSDK.com,St. Louis,MO,https://www.ksdk.com/article/news/nation-now/hate-crimes-are-up-in-americas-10-largest-cities-heres-why/465-d910a0ba-2cca-4f3d-9c85-45c043966e91,american beirich california chicago cities crimes extremism hate hispanic incidents increase levin los_angeles muslim phoenix police usa american beirich california chicago cities crimes extremism hate hispanic incidents increase levin los_angeles muslim phoenix police usa,"Miami Beach police charged a man Monday with attempted arson after he threatened to burn down a condominium and ""kill all the Jews"" inside. On July 12, a woman beat a Hispanic man with a brick in Los Angeles and told him to go back to his country. In"
7/17/2018 0:00,Hate Crime,STL.News,,,https://www.stl.news/tag/hate-crime/,null,null
7/17/2018 0:00,"Texas New: VICTORIA, Jury Convicts Perez of Hate Crime in Burning of Victoria Mosque",STL.News,,,https://www.stl.news/texas-new-victoria-jury-convicts-perez-hate-crime-burning-victoria-mosque/145511/,agent assistant atf attorney fbi fire hate jury justice khandelwal milanowski mosque perez texas victoria worship agent assistant atf attorney fbi fire hate jury justice khandelwal milanowski mosque perez texas victoria worship agent assistant atf attorney fbi fire hate jury justice khandelwal milanowski mosque perez texas victoria worship agent assistant atf attorney fbi fire hate jury justice khandelwal milanowski mosque perez texas victoria worship agent assistant atf attorney fbi fire hate jury justice khandelwal milanowski mosque perez texas victoria worship agent assistant atf attorney fbi fire hate jury justice khandelwal milanowski mosque perez texas victoria worship,"VICTORIA, Texas – A federal jury in Victoria has returned guilty verdicts on all counts as charged related to the 2017 burning of the local mosque.  US Attorney Ryan Patrick made the announcement along with Acting Assistant Attorney General John Gore of"
